title,price,rating,reviews,availability
Processador Intel Core I5-12400F 2.5GHZ (Turbo 4.4GHZ) Cache 18MB 6 Núcleos 12 Threads 12ª Ger LGA 1700 BX8071512400F - Intel,"R$660,37","4,8 de 5 estrelas",2.560 avaliações de clientes,Em estoque
"Processador AMD Ryzen 5 5500 100100000457BOX, Cerâmica cinza","R$659,10","4,7 de 5 estrelas",4.360 avaliações de clientes,Estimativa de envio de 2 a 3 dias
"Processador AMD Ryzen 5 5600G, 3.9GHz (4.4GHz Max Turbo), AM4, Vídeo Integrado, 6 Núcleos","R$894,00","4,9 de 5 estrelas",18.015 avaliações de clientes,Estimativa de envio de 4 a 5 dias
Processador AMD Ryzen 7 5700X3D AM4 100100001503WOF,"R$1.379,00","4,8 de 5 estrelas",521 avaliações de clientes,Estimativa de envio de 4 a 5 dias
"AMD Ryzen 5 5600GT 6-Core, 12-Thread Desktop Processor","R$969,00","4,7 de 5 estrelas",112 avaliações de clientes,Em estoque
Processador Intel Core I5-11400F 12MB 4.4GHz LGA 1200 - BX8070811400F*,"R$689,90","4,8 de 5 estrelas",1.088 avaliações de clientes,Em estoque
"AMD Ryzen 7 5700X 8-Core, 16-Thread Unlocked Desktop Processor","R$1.160,00","4,7 de 5 estrelas",6.514 avaliações de clientes,Estimativa de envio de 4 a 5 dias
"Processador Intel Core I3-12100F 3.3GHZ (Turbo 4.30GHZ) Cache 12mb 4 Nucleos 8 Threads 12ª Ger LGA 1700 BX8071512100F – Intel, Prata","R$539,00","4,7 de 5 estrelas",563 avaliações de clientes,Em estoque
Processador AMD Ryzen 5 7600X Box (AM5/6 Cores/12 Threads/5.3GHz/38MB Cache/Radeon Graphics) Com Vídeo/Sem Cooler,"R$1.479,00","4,7 de 5 estrelas",1.975 avaliações de clientes,Estimativa de envio de 4 a 5 dias
"Processador AMD Ryzen 7 5800X, Cache 36MB, 3.8GHz (4.7GHz Max Turbo), AM4","R$1.499,00","4,7 de 5 estrelas",19.084 avaliações de clientes,Estimativa de envio de 2 a 3 dias
Kit Upgrade Gamer - Intel Core i5 3.7Ghz + Placa Mãe B75 + 16Gb Ram (16GB RAM (2x8GB)),"R$669,49","5,0 de 5 estrelas",2 avaliações de clientes,Em estoque
"PROCESSADOR AMD RYZEN 5 5600 3.5GHz (TURBO 4.4GHz) 32MB CACHE AM4 100-100000927BOX, Cerâmica cinza","R$868,65","4,8 de 5 estrelas",5.732 avaliações de clientes,Estimativa de envio de 4 a 5 dias
Moldura para processadores intel LGA 17XX-BCF-BLACK,"R$109,00","4,7 de 5 estrelas",11 avaliações de clientes,Em estoque
"Kit Gamer Intel Core I7 6ª Geração, H110, Memória 16gb Ddr4 Cooler RGB","R$1.429,00","4,2 de 5 estrelas",3 avaliações de clientes,Em estoque
