title,price,rating,reviews,availability
"Placa de vídeo para jogos RX 580, 8 GB GDDR5 256 bits, PCI Express 3.0x16, Placas de vídeo para PC com GPU de computador com ventoinha dupla, HDMI, DP, DisplayPort, DVI","R$1.353,66","3,8 de 5 estrelas",58 avaliações de clientes,Em estoque
GPU NVIDIA GEFORCE GT 610 2GB DDR3 64 BIT PROJETO EDGE LOW PROFILE SINGLE FAN - PPE610DR3LPBR,"R$150,00","5,0 de 5 estrelas",19 avaliações de clientes,Em estoque
GPU RX 550 4GB GDDR5 128 Bits Dual-Fan Projeto Edge PVEX5504GBDF – Pcyes,"R$549,99","4,6 de 5 estrelas",48 avaliações de clientes,Em estoque
MSI GeForce GTX 1650 128-Bit HDMI/DP/DVI 4GB GDRR6 HDCP suporta DirectX 12 VR Ready OC Graphics Card (GTX 1650 D6 Ventus XS OCV3),"R$899,90","4,5 de 5 estrelas",148 avaliações de clientes,Em estoque
"maxsun Placa de vídeo AMD Radeon RX 580, placa de vídeo 2048SP GDDR5 de 256 bits para jogos de PC com porta de exibição HDMI DP DVI PCI Express 3.0 placa gráfica com ventilador duplo","R$699,99","4,5 de 5 estrelas",4 avaliações de clientes,Em estoque
"Placa de Vídeo Gainward - GeForce RTX 3060, 12GB GDDR6, GHOST Series","R$2.019,90","4,8 de 5 estrelas",372 avaliações de clientes,Em estoque
"Placa de Vídeo Galax NVIDIA GeForce RTX 3050 EX, 6GB, GDDR6, DLSS, Ray Tracing","R$1.439,99","4,6 de 5 estrelas",21 avaliações de clientes,Em estoque
Placa de video galax geforce gtx 1650 ex plus 1click oc 4gb ddr6 128bits - 65sql8ds93e1,"R$914,00","4,8 de 5 estrelas",359 avaliações de clientes,Em estoque
JIESHUO Placa gráfica para computador desktop AMD RX 580 8GB GPU 256bit 8Gbps DP/HDMI PCI Express 3.0 16X para PC de jogos (RX 580 8G),"R$799,90","4,2 de 5 estrelas",6 avaliações de clientes,Em estoque
Placa de VIdeo RTX4060 8GB GDDR6 128BITS 1-CLICK OC 2X GALAX 46NSL8MD8LOC,"R$2.399,00","4,7 de 5 estrelas",145 avaliações de clientes,Em estoque
GPU NVIDIA GEFORCE GTX 1660 TI 6GB GDDR6 192BITS BRANCO PCYES PVGTX1660TI6GBBR,"R$1.359,99","5,0 de 5 estrelas",2 avaliações de clientes,Em estoque
