title,price,rating,reviews,availability
Kit Intel 11ª Geração I5 11400f + Asus H510 + 16gb Ddr4,"R$1.870,00","5,0 de 5 estrelas",2 avaliações de clientes,Em estoque
"Placa Mãe Gigabyte A520M S2H DDR4, AMD, AM4","R$419,01","4,5 de 5 estrelas",351 avaliações de clientes,Em estoque
"Placa Mãe Gigabyte B550M AORUS Elite, Chipset B550, AMD AM4, mATX, DDR4","R$799,00","4,7 de 5 estrelas",2.859 avaliações de clientes,Estimativa de envio de 2 a 3 dias
"PLACA-MÃE GIGABYTE B450 GAMING, AM4 2XDDR4(MÁX 64GB),4 SATA,1 M.2, HDMI/VGA/DVI-D 2XUSB 3.2, 4XUSB 2.0","R$605,28","4,6 de 5 estrelas",1.151 avaliações de clientes,Em estoque
"PLACA-MÃE GIGABYTE B550M, AM4 4XDDR4(MÁX128GB), 4 SATA, 1 M.2, 2XUSB 3.2, 4XUSB 2.0, 1XHDMI","R$665,31","4,5 de 5 estrelas",109 avaliações de clientes,Em estoque
"Placa Mãe Gigabyte B760M AORUS ELITE (rev. 1.0), LGA 1700, DDR5","R$1.109,95","4,5 de 5 estrelas",65 avaliações de clientes,Em estoque
"Placa Mãe Gigabyte H610M H DDR4, Chipset H610, Intel LGA 1700, mATX, DDR4","R$519,99","4,5 de 5 estrelas",89 avaliações de clientes,Em estoque
Placa Mãe Asus TUF GAMING B550M-PLUS AMD AM4 DDR4 mATX,"R$919,00","4,7 de 5 estrelas",1.559 avaliações de clientes,Em estoque
"Placa Mãe AM4/USB 3.1/Type-C/Displayport, HDMI, ASRock, B450M Steel Legend","R$819,00","4,8 de 5 estrelas",4.220 avaliações de clientes,Em estoque
"Placa Mae Msi Pro H610m-g, Ddr4, Socket Lga 1700, M-atx, Chipset Intel H610, Pro-h610m-g","R$519,90","4,5 de 5 estrelas",165 avaliações de clientes,Em estoque
"Placa Mae TGT H61-T, DDR3, LGA 1155, M-ATX, Chipset Intel H61, TGT-H61-T","R$211,90","4,2 de 5 estrelas",16 avaliações de clientes,Em estoque
Placa Mãe AsRock A520M-HVS (AM4/DDR4/HDMI/VGA/M.2/USB3.2),"R$409,99","4,2 de 5 estrelas",84 avaliações de clientes,Em estoque
"KACEPAR Controlador PCB mãe scooter elétrica, placa de controle de scooter elétrica, apto para Segway Ninebot ES1 ES2 ES4","R$488,27",Página anterior de Produtos patrocinados relacionados,,Em estoque
DAUERHAFT PC Placa-mãe para jogos H81 M.2 NVMe NGFF 6Gbs LGA 1150 Micro ATX PC Desktop de alta velocidade,"R$532,31","3,8 de 5 estrelas",4 avaliações de clientes,Em estoque
"8GB DDR3 1600MHz Banco de memória para computador desktop, Transmissão de dados rápida Módulo de placa RAM DDRIII PC para placa-mãe","R$178,33","5,0 de 5 estrelas",2 avaliações de clientes,Em estoque
Kit Upgrade - Intel Core i5-3470 + Placa Mãe B75 Lga 1155 + 16GB Ram DDR3,"R$420,00","4,8 de 5 estrelas",5 avaliações de clientes,Em estoque
"Placa-Mãe ASUS Prime - A520M-E, AMD AM4, mATX, DDR4","R$498,90","4,6 de 5 estrelas",359 avaliações de clientes,Em estoque
"PLACA MAE ASUS PRIME H610M-E D4 LGA 1700 DDR4, preto","R$609,90","4,5 de 5 estrelas",79 avaliações de clientes,Em estoque
Placa Mãe Asus TUF GAMING B650M-PLUS (AM5/DD5/HDMI/DisplayPort/M.2/USB 3.2/RGB),"R$1.449,00","4,5 de 5 estrelas",80 avaliações de clientes,Em estoque
MSI PRO AMD A520 Micro ATX DDR4-SDRAM Placa-mãe,"R$475,99","4,5 de 5 estrelas",397 avaliações de clientes,Em estoque
"Placa Mãe Gigabyte A520m K V2, Ddr4, A4, Micro Atx","R$484,30","4,3 de 5 estrelas",72 avaliações de clientes,Em estoque
Placa mãe MSI MPG AMD B550 Gaming Plus Socket AM4 ATX DDR4-SDRAM,"R$1.149,99","4,6 de 5 estrelas",3.673 avaliações de clientes,Em estoque
"kit Upgrade, Intel Core i5-3470 + Cooler + Placa-Mãe 1155 + 16GB DDR3","R$529,90","4,1 de 5 estrelas",38 avaliações de clientes,Em estoque
MSI Placa mãe AMD B450 PRO-VDH Max AM4 Micro ATX DDR4-SDRAM,"R$610,00","4,4 de 5 estrelas",2.959 avaliações de clientes,Em estoque
Placa Mãe Lga1150 Chipset Intel H81 6gb Usb 3.0 Ddr3 1066 16GB Suporta DDR31066/1333/1600 MHZ de canal duplo,"R$269,00","4,5 de 5 estrelas",86 avaliações de clientes,Em estoque
Placa Mãe H81M2 Lga 1150 DIMM até 16GB DDR3 Intel H81 USB3.0 Processadores 4 e 5 Geração PCI-e,"R$211,90",Página anterior de Produtos patrocinados relacionados,,Em estoque
Placa Mae 1151-8th Asrock - H310CM-HG4,"R$429,90","4,7 de 5 estrelas",143 avaliações de clientes,Em estoque
Placa Mãe Asus PRIME H510M-K R2.0 (LGA 1200/2xDDR4/HDMI/VGA/M.2/USB 3.2),"R$521,90","4,4 de 5 estrelas",46 avaliações de clientes,Em estoque
"CIADAZ Ray5 10W Gravador a laser 10000mm/min 400x400mm 3.5"" Touchscreen Placa-mãe de 32bits 0.06 * 0.06mm Laser Spot DIY Marcação a laser para madeira de pinho Metal Acrílico Aço inoxidável APP WIFI","R$1.899,99",Página anterior de Produtos patrocinados relacionados,,Estimativa de envio de 3 a 4 dias
"VBESTLIFE ATX/M-ATX/IT Capa de PC aberta, suporte faça você mesmo, chassi aberto para placa-mãe ITX, perfil de alumínio 50 x 50 cm, suporta placa gráfica independente (não incluída), rack de quadro aberto de overclocking vertical (vermelho)","R$987,04",Página anterior de Produtos patrocinados relacionados,,Em estoque
"CIADAZ Máquina Gravadora a laser Longer Ray5, máquina cortadora a laser gravadora CNC, gravadora a laser de 5W com ponto comprimido de 0,08*0,08, placa-mãe de 32bits,área de gravação DIY de 400x400mm","R$1.499,99",Página anterior de Produtos patrocinados relacionados,,Estimativa de envio de 3 a 4 dias
Bateria Moeda Cr 2032 3V Cartela 5 Unid Lithium Placa-Mãe,"R$11,90","4,6 de 5 estrelas",18 avaliações de clientes,Em estoque
"Cabo Do Painel Frontal Usb 3.0, Adaptador Usb De 19/20 Pinos Divisor De Cabeçote Usb Cabo Conversor Adaptador Com Pés Fixos Para Painel Da Placa-mãe(0.6m)",Página 1 de 1,Página anterior de Produtos patrocinados relacionados,,
"8GB DDR3 1600MHz Banco de memória para computador desktop, Transmissão de dados rápida Módulo de placa RAM DDRIII PC para placa-mãe","R$178,33","5,0 de 5 estrelas",2 avaliações de clientes,Em estoque
"CIADAZ Ray5 10W Gravador a laser 10000mm/min 400x400mm 3.5"" Touchscreen Placa-mãe de 32bits 0.06 * 0.06mm Laser Spot DIY Marcação a laser para madeira de pinho Metal Acrílico Aço inoxidável APP WIFI","R$1.899,99",Página anterior de Produtos patrocinados relacionados,,Estimativa de envio de 3 a 4 dias
"CIADAZ Máquina Gravadora a laser Longer Ray5, máquina cortadora a laser gravadora CNC, gravadora a laser de 5W com ponto comprimido de 0,08*0,08, placa-mãe de 32bits,área de gravação DIY de 400x400mm","R$1.499,99",Página anterior de Produtos patrocinados relacionados,,Estimativa de envio de 3 a 4 dias
Placa Mãe Gigabyte B450M K (AM4/2xDDR4/HDMI/M.2/USB 3.1),"R$549,00","4,3 de 5 estrelas",79 avaliações de clientes,Em estoque
INTELAR Placa Mãe LGA1150 Chipset Intel 6gb Usb 3.0 Ddr3/Apoia /54th Gen (H81),"R$199,00","3,8 de 5 estrelas",8 avaliações de clientes,Em estoque
"Placa Mãe Gigabyte B650M D3HP, Chipset B650, AMD AM5, mATX, DDR5","R$939,90","3,7 de 5 estrelas",8 avaliações de clientes,Em estoque
Placa Mãe Duex Dx B75zg M.2 Socket 1155 Core I7 I5 I3 Ddr3,"R$204,00","4,9 de 5 estrelas",10 avaliações de clientes,Em estoque
