title,price,rating,reviews,availability
"SanDisk SSD interno Ultra 3D NAND 1TB - SATA III 6 Gb/s, 2,5 polegadas/7 mm, até 560 MB/s - SDSSDH3-1T00-G26","R$815,03","4,3 de 5 estrelas",1.053 avaliações de clientes,Em estoque
HD SSD Kingston SA400S37 480GB,"R$225,98","4,8 de 5 estrelas",12.914 avaliações de clientes,Em estoque
SSD Kingston NV2 1TB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 2100MB/s),"R$469,00","4,8 de 5 estrelas",11.387 avaliações de clientes,Em estoque
"SSD, Kingston, SA400S37/960G","R$423,20","4,8 de 5 estrelas",17.730 avaliações de clientes,Em estoque
SSD ADATA SU650 240GB,"R$159,00","4,8 de 5 estrelas",2.570 avaliações de clientes,Em estoque
"SSD, Kingston, SA400S37/480G","R$279,00","4,8 de 5 estrelas",68.192 avaliações de clientes,Em estoque
SSD Kingston NV2 500GB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 2100MB/s),"R$286,90","4,8 de 5 estrelas",5.868 avaliações de clientes,Em estoque
"HD SSD 480GB Sata3 WD Western Digital 2, 5 - WDS480G2G0A","R$219,99","4,8 de 5 estrelas",4.865 avaliações de clientes,Em estoque
"Hd Ssd Kingston 240gb Sata 3 A400 2,5 Notebook","R$165,99","4,9 de 5 estrelas",5.426 avaliações de clientes,Em estoque
"SSD Crucial BX500 500GB SATA lll 2,5""","R$215,88","4,8 de 5 estrelas",3.928 avaliações de clientes,Em estoque
"SSD Sandisk Plus 1TB SATA III 2,5""","R$419,90","4,8 de 5 estrelas",2.695 avaliações de clientes,Em estoque
"SSD A400, Kingston, SA400S37/240G, Preto","R$171,90","4,9 de 5 estrelas",100.565 avaliações de clientes,Em estoque
SSD ADATA SU650 240GB,"R$159,00","4,8 de 5 estrelas",2.570 avaliações de clientes,Em estoque
"SSD Crucial MX300 275GB 2,5 SATA - CT275MX300SSD1","R$1.334,59","4,7 de 5 estrelas",3.754 avaliações de clientes,Estimativa de envio de 4 a 5 dias
"Crucial SSD interno MX500 250GB 3D NAND SATA 2,5 polegadas, até 560 MB/s - CT250MX500SSD1(Z)","R$651,00","4,8 de 5 estrelas",34.432 avaliações de clientes,Estimativa de envio de 6 a 7 dias
"SD Sandisk Plus, 480GB, SATA, Leitura 535MB/s, Gravação 445MB/s, SDSSDA-480G-G26","R$225,99","4,8 de 5 estrelas",26.095 avaliações de clientes,Em estoque
SSD PLUS M.2 NVMe Sandisk 1TB SDSSDA3N-1T00-G26 PCIe Gen 3.0,"R$599,00","4,8 de 5 estrelas",27 avaliações de clientes,Em estoque
"SSD Sandisk Plus, 240GB, SATA, Leitura 530MB/s, Gravação 440MB/s, SDSSDA-240G-G26","R$187,90","4,8 de 5 estrelas",29.650 avaliações de clientes,Em estoque
"SSD interno Crucial BX500 CT1000BX500SSD1, 3D NAND SATA de 2,5 polegadas, até 540 MB/s, 1 TB","R$474,00","4,8 de 5 estrelas",28.962 avaliações de clientes,Em estoque
SSD Disco sólido interno Kingston SA400S37/960G 960GB,"R$396,00","4,7 de 5 estrelas",189 avaliações de clientes,Em estoque
Ssd 480Gb Kingston A400 Bulk,"R$225,89","4,8 de 5 estrelas",1.253 avaliações de clientes,Em estoque
"SSD 500GB PNY CS1031, M.2 2280, PCIe 3x4 NVMe, Leitura 2200MB/s, Grav. 1200MB/s - M280CS1031-500-CL","R$269,00","4,7 de 5 estrelas",65 avaliações de clientes,Em estoque
HD SSD 1TB Sandisk SDSSDA-1T00-G26,"R$418,99","4,7 de 5 estrelas",21.674 avaliações de clientes,Em estoque
"Crucial BX500 240 GB 3D NAND SATA SSD interno de 2,5 polegadas, até 540 MB/s - CT240BX500SSD1 preto/azul","R$149,99","4,8 de 5 estrelas",48.747 avaliações de clientes,Em estoque
Kingston - SQ500S37/960G Q500 - Unidade de estado sólido - 960 GB - Interna - 2.5 - SATA 6GB/S,"R$419,90","4,6 de 5 estrelas",347 avaliações de clientes,Em estoque
SSD WD Green SN350 1TB NVMe M.2 2280 (Leitura até 2400MB/s e Gravação até 1850MB/s),"R$585,00","4,8 de 5 estrelas",201 avaliações de clientes,Em estoque
SSD Wd Green 2.5´ 240Gb SATA IIi 6Gb/S Leituras. 545Mb/S e Gravações. 465Mb/S - Wds240G2G0A,"R$189,90","4,8 de 5 estrelas",26.269 avaliações de clientes,Em estoque
SSD Adata XPG Gammix S70 Blade 1TB NVMe M.2 2280 (Leitura até 7400MB/s e Gravação até 5500MB/s) - Com dissipador,"R$715,00","4,7 de 5 estrelas",8.727 avaliações de clientes,Em estoque
Transcend TS256GMTS430S Unidade de estado sólido M.2 2242 SATAIII B+M Key MTS430S 256GB,"R$459,79","4,6 de 5 estrelas",2.454 avaliações de clientes,Em estoque
TRANSCEND Unidade de estado sólido TS128GMSA230S 128GB mSATA SATAIII,"R$534,14","4,7 de 5 estrelas",2.078 avaliações de clientes,Em estoque
