title,price,rating,reviews,availability
Fonte de Alimentação AC/DC Fonte USB EC 11 Power 20W Branco Intelbras,"R$86,05","4,8 de 5 estrelas",651 avaliações de clientes,Em estoque
"Fonte C3Tech PS-510BK, 500w Gamer, ATX, Bivolt 115/230V, Cooler 120mm, Cabos Flat, Preta","R$214,50",Página anterior de Produtos patrocinados relacionados,,Em estoque
"Fonte de alimentação DC Lwlongwei Variável, 30V 10A 300W comutação ajustável Regulada DC Bench Fonte de alimentação linear com 4 dígitos LED Power Display 5V / 2A Saída USB","R$997,77","4,5 de 5 estrelas",24 avaliações de clientes,Em estoque
Fonte de Alimentação Redragon 500W 80 Plus Bronze PFC Ativo S/Cabo,"R$269,99","4,8 de 5 estrelas",807 avaliações de clientes,Em estoque
Fonte De Alimentacao 600w Gs600 80 Plus White Gamemax,"R$290,90","4,7 de 5 estrelas",650 avaliações de clientes,Em estoque
Fonte ATX 200W PWS-2003 20+4P FK420P Fortrek,"R$49,99","4,5 de 5 estrelas",1.998 avaliações de clientes,Em estoque
FONTE COOLER MASTER G800 GOLD 800W 80 PLUS GOLD - MPW-8001-ACAAG-BR,"R$559,90","4,5 de 5 estrelas",13 avaliações de clientes,Em estoque
Fonte De Alimentacao 750w Gp750 80 Plus Bronze Gamemax,"R$374,00","4,7 de 5 estrelas",1.391 avaliações de clientes,Em estoque
Fonte ATX 500W Bivolt Crusader Fortrek,"R$143,90","4,5 de 5 estrelas",684 avaliações de clientes,Em estoque
Fonte ATX 500W PFC Ativo Black Hawk 80 Plus Bronze Fortrek,"R$237,90","4,5 de 5 estrelas",416 avaliações de clientes,Em estoque
"FONTE MANCER THUNDER 500W BRONZE 80 PLUS, MCR-THR500-BL01","R$271,90","4,8 de 5 estrelas",272 avaliações de clientes,Em estoque
Fonte Aerocool Bivolt 350W VX-350 EN57181,"R$119,99","4,5 de 5 estrelas",1.057 avaliações de clientes,Em estoque
"LWLONGWEI DC Fonte de Alimentação Variável, 4 Canais 30V 10A de saída Ajustável Switching Regulated DC Bench Fonte de alimentação com 4 dígitos LED Power Display 5V / 2A USD/DC Output","R$1.948,37","4,1 de 5 estrelas",5 avaliações de clientes,
Driver Fonte Slim 24W 2A Para Fitas Led 12V Bivolt Luminatti,"R$26,90","4,1 de 5 estrelas",16 avaliações de clientes,Em estoque
"Carregador Fonte Universal Para Notebook TV Monitor, 96W, 120W | 10 Pinos Multi Conectores, Fonte P/Laptop Macbook Air Pro, Bivolt (110v/220v), Compatível C/Vários Modelos Do Mercado, Globi Imports.","R$69,99","4,6 de 5 estrelas",6 avaliações de clientes,Em estoque
Fonte de Alimentação Gigabyte P450B 450W 80 Plus Bronze C/Cabo,"R$297,36","4,7 de 5 estrelas",88 avaliações de clientes,Em estoque
Fonte 200W C3Plus ATX PS-200V4 Prata - Potência de 200W Reais Cooler de 80mm Silêncioso Proteção contra Curto Circuito Bivolt Manual 115V/230V Sem Cabo AC,"R$62,90","4,4 de 5 estrelas",88 avaliações de clientes,Em estoque
Fonte Gamemax Gx700 700w 80 Plus Gold Pfc Ativo Preta,"R$490,00","4,7 de 5 estrelas",7 avaliações de clientes,Em estoque
Fonte Gamer ATX KCAS 800W PFC Ativo 80 Plus Bronze Aerocool,"R$399,98","4,7 de 5 estrelas",1.267 avaliações de clientes,Em estoque
Fonte ATX Gamer Redragon RGPS 600W 80 Plus Bronze PFC Ativo Sem Cabo de Força - GC-PS002,"R$323,00","4,8 de 5 estrelas",564 avaliações de clientes,Em estoque
"Fonte 600W ONE POWER - 70% Eficiência - MP600W3-I, Preto, ATX , 220V/110V","R$182,03","4,5 de 5 estrelas",551 avaliações de clientes,Em estoque
"MSI Fonte de alimentação MAG 750W 80 Plus Gold - Design de conector nativo de 16 pinos - Design modular completo - Garantia de 7 anos - Proteção de nível industrial com OVP, OCP, OPP, OTP, SCP, UVP","R$999,90","4,5 de 5 estrelas",193 avaliações de clientes,Estimativa de envio de 4 a 5 dias
Fonte de Alimentação Gamemax GP650 650W 80 Plus Bronze PFC Ativo C/Cabo,"R$383,27","4,7 de 5 estrelas",872 avaliações de clientes,Em estoque
FONTE ATX 550W REAL ELECTRO V2 SERIES 80 PLUS BRONZE 3 ANOS - ELECV2PTO550W - PCYES,"R$269,99","4,6 de 5 estrelas",239 avaliações de clientes,Em estoque
Fonte de Alimentação Adata XPG Pylon 650W 80 Plus Bronze C/PFC C/Cabo,"R$398,90","4,7 de 5 estrelas",934 avaliações de clientes,Em estoque
"FONTE TGT TOMAHAWK 500W PRETO, TMWK500","R$151,90","4,5 de 5 estrelas",82 avaliações de clientes,Em estoque
FONTE ATX 650W - CV650-80 PLUS BRONZE - COM CABO DE FORCA - CP-9020236-BR,"R$498,00","4,8 de 5 estrelas",349 avaliações de clientes,Em estoque
Fonte de Alimentação MSI MAG A650BN 650W 80 Plus Bronze PFC Ativo,"R$408,90","4,7 de 5 estrelas",762 avaliações de clientes,Em estoque
"Corsair FONTE ATX 750W - CV750-80 PLUS BRONZE - COM CABO DE FORCA - CP-9020237-BR –, Preto","R$598,90","4,7 de 5 estrelas",161 avaliações de clientes,Em estoque
"Fonte Corsair RM750e, 750W, 80 Plus Gold, Modular, Preto - CP-9020262-WW","R$879,90","4,7 de 5 estrelas",21 avaliações de clientes,Em estoque
"Fonte C3Tech PS-G850 Full Modular 850w, Certificacao 80 Plus Bronze, Gamer, ATX, PFC ativo Bivolt automatico 115/230V, PCIe 5.0, controle inteligente de ventilador, 17 conectores PSU, Preta","R$554,90","4,6 de 5 estrelas",194 avaliações de clientes,Em estoque
"Adaptador Hub Usb Tipo C 3.0 Regua Pc adaptador multiportas USB C Hub com saída HDMI 4K a 60hz, fonte de alimentação tipo C, carregamento de portas, hub USB-Thee Brothers","R$109,90","4,0 de 5 estrelas",43 avaliações de clientes,Em estoque
"Adaptador Hub Usb Tipo C 3.0 Regua Pc Adaptador Multiportas USB C Hub com Saída HDMI 4K a 60hz, Fonte de Alimentação Tipo C, Carregamento de Portas, Hub USB","R$89,90","5,0 de 5 estrelas",1 classificação,Em estoque
