title,price,rating,reviews,availability
Processador Intel Core I5-12400F 2.5GHZ (Turbo 4.4GHZ) Cache 18MB 6 Núcleos 12 Threads 12ª Ger LGA 1700 BX8071512400F - Intel,660.37,4.8,2.56,Em estoque
"Processador AMD Ryzen 5 5500 100100000457BOX, Cerâmica cinza",659.1,4.7,4.36,Estimativa de envio de 2 a 3 dias
"Processador AMD Ryzen 5 5600G, 3.9GHz (4.4GHz Max Turbo), AM4, Vídeo Integrado, 6 Núcleos",894.0,4.9,18.015,Estimativa de envio de 4 a 5 dias
Processador AMD Ryzen 7 5700X3D AM4 100100001503WOF,1379.0,4.8,521.0,Estimativa de envio de 4 a 5 dias
"AMD Ryzen 5 5600GT 6-Core, 12-Thread Desktop Processor",969.0,4.7,112.0,Em estoque
Processador Intel Core I5-11400F 12MB 4.4GHz LGA 1200 - BX8070811400F*,689.9,4.8,1.088,Em estoque
"AMD Ryzen 7 5700X 8-Core, 16-Thread Unlocked Desktop Processor",1160.0,4.7,6.514,Estimativa de envio de 4 a 5 dias
"Processador Intel Core I3-12100F 3.3GHZ (Turbo 4.30GHZ) Cache 12mb 4 Nucleos 8 Threads 12ª Ger LGA 1700 BX8071512100F – Intel, Prata",539.0,4.7,563.0,Em estoque
Processador AMD Ryzen 5 7600X Box (AM5/6 Cores/12 Threads/5.3GHz/38MB Cache/Radeon Graphics) Com Vídeo/Sem Cooler,1479.0,4.7,1.975,Estimativa de envio de 4 a 5 dias
"Processador AMD Ryzen 7 5800X, Cache 36MB, 3.8GHz (4.7GHz Max Turbo), AM4",1499.0,4.7,19.084,Estimativa de envio de 2 a 3 dias
Kit Upgrade Gamer - Intel Core i5 3.7Ghz + Placa Mãe B75 + 16Gb Ram (16GB RAM (2x8GB)),669.49,5.0,2.0,Em estoque
"PROCESSADOR AMD RYZEN 5 5600 3.5GHz (TURBO 4.4GHz) 32MB CACHE AM4 100-100000927BOX, Cerâmica cinza",868.65,4.8,5.732,Estimativa de envio de 4 a 5 dias
Moldura para processadores intel LGA 17XX-BCF-BLACK,109.0,4.7,11.0,Em estoque
"Kit Gamer Intel Core I7 6ª Geração, H110, Memória 16gb Ddr4 Cooler RGB",1429.0,4.2,3.0,Em estoque
Kit Intel 11ª Geração I5 11400f + Asus H510 + 16gb Ddr4,1870.0,5.0,2.0,Em estoque
"AMD Ryzen 7 7800X3D 8-Core, 16-Thread Desktop Processor",3399.0,4.8,3.255,Em estoque
"Processador AMD Ryzen 7 5700G, 3.8GHz (4.6GHz Max Turbo), AM4, Vídeo Integrado, 8 Núcleos",1300.0,4.8,7.34,Estimativa de envio de 4 a 5 dias
Kit Upgrade Gamer Intel Core I5-8500 + Cooler + Placa-Mãe + 16GB DDR4,1149.9,4.9,23.0,Em estoque
"AMD Ryzen 5 4500 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",593.9,4.7,2.13,Em estoque
Kit Upgrade - Intel Core i5 + Placa Mãe Lga 1155 + 8GB Ram DDR3 + Cooler + Pasta Térmica - Nfe Inclusa,385.0,4.5,650.0,Em estoque
Intel Core i5-13400F 2.5GHz (4.6 Turbo) 10 Core LGA 1700 Processador para Desktop (Raptor Lake),1248.99,4.7,485.0,Em estoque
Processador Intel Core i5-12400 2.5 GHz (Turbo 4.4 GHZ) Cache 18MB 6 Núcleos 12 Threads 12ª GER LGA 1700 BX8071512400 - Intel,1105.0,4.8,714.0,Em estoque
Processador AMD Ryzen 5 4600G 3.7GHz 100100000147BOX,857.35,4.8,1.707,Estimativa de envio de 4 a 5 dias
Intel PROCESSADOR CORE I5-10400F 2.9GHZ CACHE 12MB 6 NUCLEOS 12 THREADS 10ª GERACAO LGA 1200 BX8070110400F,689.9,4.8,2.875,Em estoque
Kit Amd Ryzen 7 5700x + B550m Aorus Elite AM4 + 16gb 3200mhz,2720.0,4.9,10.0,Em estoque
"Processador Intel Core I7-12700F, 12ª Geração LGA 1700 BX8071512700F *",1985.0,4.4,100.0,Em estoque
"Processador INTEL CORE I3-10105F 3.7GHZ Turbo 4.4GHZ 6MB CACHE 4 Núcleos, 8 Threads SEM VIDEO INTEGRADO LGA 1200 - Intel",417.99,4.6,454.0,Em estoque
"Processador AMD Ryzen 7 5800X3D 3,4GHz 100100000651WOF",2545.0,4.8,5.471,Em estoque
"Intel Processador Core i5-14400F Desktop 10 núcleos (6 P-cores + 4 E-cores) até 4,7 GHz",1699.99,4.7,40.0,Em estoque
Processador Intel Core I5-12600k 20MB 4.9GHz LGA 1700 BX8071512600K *,1657.0,4.8,2.244,Em estoque
"Processador AMD Ryzen 7 5800X3D 3,4GHz 100100000651WOF",2545.0,4.8,5.471,Em estoque
Kit Intel 11ª Geração I5 11400f + Asus H510 + 16gb Ddr4,1870.0,5.0,2.0,Em estoque
"Kit Gamer Intel Core I7 6ª Geração, H110, Memória 16gb Ddr4 Cooler RGB",1429.0,4.2,3.0,Em estoque
"Processador AMD Ryzen 5 5600X, Cache 35MB, 3.7GHz (4.6GHz Max Turbo), AM4, Sem Vídeo",1019.0,4.8,25.806,Estimativa de envio de 4 a 5 dias
PROCESSADOR AMD RYZEN 3 4100 3.8GHz (TURBO 4.0GHz) 4MB CACHE AM4 100-100000510BOX,485.0,4.5,424.0,Em estoque
"Processador AMD Ryzen 9 5900X, Cache 70MB, 3.7GHz (4.8GHz Max Turbo), AM4",2289.0,4.7,11.364,Em estoque
PROCESSADOR AMD RYZEN 5 7600 4.0GHz (TURBO 5.2GHz) 38MB CACHE AM5 100-100001015BOX,1549.9,4.8,1.223,Estimativa de envio de 4 a 5 dias
"AMD Ryzen 9 7950X 16-Core, 32-Thread Unlocked Desktop Processor",3619.0,4.6,1.076,Estimativa de envio de 4 a 5 dias
