title,price,rating,reviews,availability
"Placa de vídeo para jogos RX 580, 8 GB GDDR5 256 bits, PCI Express 3.0x16, Placas de vídeo para PC com GPU de computador com ventoinha dupla, HDMI, DP, DisplayPort, DVI",1353.66,3.8,58.0,Em estoque
GPU NVIDIA GEFORCE GT 610 2GB DDR3 64 BIT PROJETO EDGE LOW PROFILE SINGLE FAN - PPE610DR3LPBR,150.0,5.0,19.0,Em estoque
GPU RX 550 4GB GDDR5 128 Bits Dual-Fan Projeto Edge PVEX5504GBDF – Pcyes,549.99,4.6,48.0,Em estoque
MSI GeForce GTX 1650 128-Bit HDMI/DP/DVI 4GB GDRR6 HDCP suporta DirectX 12 VR Ready OC Graphics Card (GTX 1650 D6 Ventus XS OCV3),899.9,4.5,148.0,Em estoque
"maxsun Placa de vídeo AMD Radeon RX 580, placa de vídeo 2048SP GDDR5 de 256 bits para jogos de PC com porta de exibição HDMI DP DVI PCI Express 3.0 placa gráfica com ventilador duplo",699.99,4.5,4.0,Em estoque
"Placa de Vídeo Gainward - GeForce RTX 3060, 12GB GDDR6, GHOST Series",2019.9,4.8,372.0,Em estoque
"Placa de Vídeo Galax NVIDIA GeForce RTX 3050 EX, 6GB, GDDR6, DLSS, Ray Tracing",1439.99,4.6,21.0,Em estoque
Placa de video galax geforce gtx 1650 ex plus 1click oc 4gb ddr6 128bits - 65sql8ds93e1,914.0,4.8,359.0,Em estoque
JIESHUO Placa gráfica para computador desktop AMD RX 580 8GB GPU 256bit 8Gbps DP/HDMI PCI Express 3.0 16X para PC de jogos (RX 580 8G),799.9,4.2,6.0,Em estoque
Placa de VIdeo RTX4060 8GB GDDR6 128BITS 1-CLICK OC 2X GALAX 46NSL8MD8LOC,2399.0,4.7,145.0,Em estoque
GPU NVIDIA GEFORCE GTX 1660 TI 6GB GDDR6 192BITS BRANCO PCYES PVGTX1660TI6GBBR,1359.99,5.0,2.0,Em estoque
GPU NVIDIA GEFORCE R5 220 2GB DDR3 64 BIT PROJETO EDGE LOW PROFILE SINGLE FAN - PPER5DR3LPBR,159.99,3.6,15.0,Em estoque
"Placa gráfica para jogos RX580, 8GB 256bit GDDR5, PCI Express 3.0 x16, HDMI/DVI/DP, ventoinha dupla, placa de vídeo para computador desktop 60Hz 4K",1331.72,3.5,77.0,Em estoque
"Pasta Térmica Prata, Silver para Processador Cooler Pote 20 G",39.75,4.7,21.0,Em estoque
"Yoidesu Placa gráfica GTX550Ti para jogos, placa gráfica de computador GDDR5 192BIT de 6 GB com ventiladores duplos, placa de vídeo VGA DVI PCIe 2.0 GPU para DirectX 11 800MHZ Core Frequency",753.99,0.0,,Em estoque
Placa de vídeo GT610 2G PCIE X16 2.0 Placa gráfica GT 610 DDR3 VGA HD DVI 64Bit 1800MHz GPU GT610 Computador de mesa (2G),189.0,4.1,35.0,Em estoque
Placa de Vídeo AMD XFX Radeon RX 6600 8GB DDR6 - RX66XL8LFDQ,1700.9,4.6,3.021,Em estoque
"Placa de Video Mancer Radeon RX 5600 Streaky, 6GB, GDDR6, 192-bit, MCR-RX5600-STK",1458.9,4.7,253.0,Em estoque
GPU NVIDIA GEFORCE R5 230 2GB DDR3 64 BIT PROJETO EDGE LOW PROFILE SINGLE FAN - PPER230DR3LPBR,169.98,5.0,3.0,Em estoque
GPU NVIDIA GEFORCE G 210 1GB DDR3 64 BIT PROJETO EDGE LOW PROFILE SINGLE FAN - PPE210DR3SFBR,170.0,5.0,1.0,Em estoque
GPU NVIDIA GEFORCE GT 710 2GB DDR3 64BITS PCYES PVGT7102GB,255.13,5.0,1.0,Em estoque
Suporte Para Placa De Vídeo Gpu Vga Com Altura Ajustável,27.0,4.1,26.0,Em estoque
GPU NVIDIA GEFORCE GT 730 4GB GDDR5 64BITS PCYES PVGT7304GB,430.0,5.0,1.0,Em estoque
GPU NVIDIA GEFORCE GTX 1660 TI 6GB GDDR6 192BITS PRETO PCYES PVGTX1660TI6GBPT,1540.67,0.0,,Em estoque
PROCESSADOR GRAFICO MSI GEFORCE912-V397-484 (GPU RTX 3060 VENTUS 2X 12GB GDDR6),2159.99,4.8,1.822,Em estoque
"Placa de Vídeo XFX Speedster SWFT 210 Radeon RX 6650 XT Core Gaming, 8GB, GDDR6, 128-Bit, Preto",2043.9,4.5,488.0,Em estoque
GPU NV GTX1650 VENTUS XS OC 4GB 128BIT DDR6 MSI 912-V809-4057,930.0,4.5,510.0,Em estoque
"PLACA DE VIDEO NVIDIA GEFORCE GTX 1660 SUPER GDDR6 6GB 192BITS DUAL-FAN GRAFFITI SERIES - PA1660S6GR6DF – PCYES, Cor: Preto",1459.0,5.0,11.0,
Water Cooler Gamer Fan Ventoinha 120mm Rgb Pc Processador CPU Master Intel AMD,199.98,4.2,3.0,Em estoque
EAMOM 5 cabos de alimentação 1 a 3 6p + 2p cabo adaptador mineiro 8 pinos GPU fio de placa de vídeo 12AWG + 18AWG cabos para mineração BTC,377.79,0.0,,Estimativa de envio de 2 a 3 dias
EAMOM 5 cabos de alimentação 1 a 3 6p + 2p cabo adaptador mineiro 8 pinos GPU fio de placa de vídeo 12AWG + 18AWG cabo de placa gráfica para mineração BTC,355.93,0.0,,Estimativa de envio de 2 a 3 dias
"EAMOM 100PCS LED VER008S PCI-E Riser Card PCIE 1X a 16X Extender 60CM 100CM Cabo USB 3.0 4Pin 6Pin SATA Power para GPU Miner (Cor: 0,3M)",5987.29,0.0,,Estimativa de envio de 2 a 3 dias
EAMOM 100 peças VER006S PCI-E 1X a 16X Riser Card PCIE extensor 100 cm 60 cm 30 cm cabo USB 3.0 SATA para cabo de alimentação de 4 pinos para GPU (tamanho: 1M),6752.28,0.0,,Estimativa de envio de 2 a 3 dias
