title,price,rating,reviews,availability
Ioway Memória 8gb Ddr4 2666mhz Sodimm,189.99,4.6,33.0,Em estoque
"Memoria Midgard 8GB (1X8GB) DDR4 DIMM 3200MHZ CL22 1,2V Para Desktop",180.0,4.6,3.0,Em estoque
"Memoria Midgard 16GB (1X16GB) DDR4 SODIMM 3200MHZ CL22 1,2V Para Notebook Laptop",289.0,4.8,13.0,Em estoque
"Memoria Mancer Dantalion Z, 8GB (1x8GB), DDR4, 3200MHz, C16, MCR-DTLZ-8GB",176.9,4.7,213.0,Em estoque
"KF432C16BB/16 - Memória de 16GB DIMM DDR4 3200Mhz FURY Beast 1,35V 1Rx8 288 pinos para desktop/gamers, Preto",279.9,4.6,1.144,Em estoque
"HX432C16FB3K2/16 - Kit de Memórias HyperX Fury (2 de 8GB) DIMM DDR4 3200Mhz 1,2V para desktop",315.1,4.7,2.033,Em estoque
Corsair Memória de computador VENGEANCE LPX DDR4 RAM 32GB (2x16GB) 3200MHz CL16 Intel XMP 2.0 - Preto (CMK32GX4M2E3200C16),595.49,4.8,18.997,Em estoque
Kingston Memória de computador Fury Beast RGB 16GB 3200MT/s DDR4 CL16 DIMM KF432C16BB12A/16,359.0,4.7,23.0,Em estoque
Memória RAM DDR4 Asgard 16GB (8GBx2) 3200MHz ddr4 ram Loki Series ddr4 16GB para PC RAM Desktop,319.9,5.0,10.0,Em estoque
Kit Memória Ram 16GB (2x8GB) DDR4 ASGARD VALKYRIE V5 RGB PC Gamer Desktop 3200Mhz / 3600Mhz (8GBx2 3200MHz),408.0,4.6,92.0,Estimativa de envio de 3 a 4 dias
"HX426C16FB3/8 - Memória HyperX Fury de 8GB DIMM DDR4 2666Mhz 1,2V para desktop",158.0,4.8,5.733,Em estoque
Memória de desktop Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4 3600 (PC4-28800) C18 – Preta,505.87,4.8,8.83,Em estoque
"Memória RAM Freyja RGB DDR4 16GB 3200MHz DIMM 1,2V, Excelente Desempenho para Computadores Desktop de Jogos",364.0,5.0,1.0,Em estoque
"Memória de 8GB DIMM DDR4 3200Mhz 1,2V Freyja RGB para desktop/gamers",199.0,0.0,,Em estoque
"Kingston ValueRAM 8GB 2666MHz DDR4 Não-ECC CL19 SODIMM 1Rx16 1,2V - KVR26S19S6/8",155.0,4.7,243.0,Em estoque
"Kingstone KVR16N118 - Memória de 8GB DIMM DDR3 1600Mhz 1,5V 2Rx8 para desktop",77.0,4.7,1.891,Em estoque
Memória Patriot Viper Elite II 16GB 3200MHz Vermelho PVE2416G320C8.,269.9,4.6,788.0,Em estoque
Memória Ram 16gb (2x8gb) Asgard Loki W2 Rgb 3200mhz Cl16 Ddr4,399.0,4.8,764.0,Estimativa de envio de 3 a 4 dias
"MEMÓRIA KINGSTON FURY BEAST DIMM DDR4 8GB 3200 MHZ KF432C16BB/8 1,35V 1Rx* 288 pinos Desktop Gamer",192.6,4.8,3.122,Em estoque
"KF432C16BB/32 - Memória de 32GB DIMM DDR4 3200Mhz FURY Beast 1,35V 2Rx8 288 pinos para desktop/gamers, preto",489.0,4.7,282.0,Em estoque
Memória Ram Asgard Ddr4 16gb (2x8gb) 3200mhz Rgb Gamer,388.3,4.8,106.0,Em estoque
Memória RAM DDR4 Asgard 16GB (8GBx2) 3200MHz ddr4 ram Loki Series ddr4 16GB para PC RAM Desktop,300.8,4.5,106.0,Em estoque
Corsair VENGEANCE RGB PRO DDR4 32GB (2 x 16GB) 3600MHz CL18 Intel XMP 2.0 iCUE Memória de computador compatível - Preto (CMW32GX4M2D3600C18),799.0,4.8,6.601,Em estoque
Memória Ram Westgatte Ddr4 16gb 3200mhz Desktop/PC,219.0,0.0,,Em estoque
"KF432C16BBA/8 - Memória de 8GB DIMM DDR4 3200Mhz FURY Beast RGB 1,35V 1Rx8 288 pinos para desktop/gamers",239.9,4.8,795.0,Em estoque
"Memória RAM Freyja RGB DDR4 16GB 3200MHz DIMM 1,2V, Excelente Desempenho para Computadores Desktop de Jogos",364.0,5.0,1.0,Em estoque
Corsair Memória de desktop Vengeance LPX 16GB (1 x 16GB) DDR4 3000 (PC4-24000) C16 - preto,349.0,4.7,1.714,Estimativa de envio de 4 a 5 dias
"HX432C16FB3/8 - Memória HyperX Fury de 8GB DIMM DDR4 3200Mhz 1,2V para desktop",168.1,4.5,2.409,Em estoque
"Memória Redragon Solar Desktop Gamer RGB 8GB (1x8GB), DDR4 3600 MHZ, CL16, Preta e Dourada, GM-805",267.54,5.0,5.0,Em estoque
Memória Desktop Adata 8GB DDR4 3200 Mhz,157.82,4.6,38.0,Em estoque
"Tablet Empresarial bosnyyds de 10,1 Polegadas Processador Resolução de 1280 x 800 1GB de Ram Memória 16GB Android 5.1-MTK6592",1678.0,4.6,4.0,Em estoque
"Memória RAM DDR2 4GB, 4GB Módulo de memória DDR2 800Mhz de grande capacidade, projetado para AMD, adotando 240Pin para alcançar altas propriedades anti-interferência e antiestáticas, Plug",174.85,3.2,4.0,Em estoque
"Cartão De Teste De Memória Para Laptop Orenic Com Luz LED, Testador De Placa-mãe Para Reparo De Circuito De Computador, Cartão De Pós-diagnóstico, Teste De RAM E Ferramenta De Reparo(DDR3)",329.0,0.0,,Em estoque
"Memória RAM Freyja RGB DDR4 16GB 3200MHz DIMM 1,2V, Excelente Desempenho para Computadores Desktop de Jogos",364.0,5.0,1.0,Em estoque
Ioway Memória 8gb Ddr4 2666mhz Sodimm,189.99,4.6,33.0,Em estoque
"Memória de 8GB DIMM DDR4 3200Mhz 1,2V Freyja RGB para desktop/gamers",199.0,0.0,,Em estoque
"Memória de 8GB DIMM DDR4 3200Mhz 1,2V Freyja RGB para desktop/gamers",199.0,0.0,,Em estoque
"Memória RAM Freyja RGB DDR4 16GB 3200MHz DIMM 1,2V, Excelente Desempenho para Computadores Desktop de Jogos",364.0,5.0,1.0,Em estoque
"HX432C16FB3/8 - Memória HyperX Fury de 8GB DIMM DDR4 3200Mhz 1,2V para desktop",168.1,4.5,2.409,Em estoque
Memória Desktop Gamer Redragon Solar RGB 16GB DDR4 3600 Mhz,341.0,5.0,2.0,Em estoque
Corsair Memória de desktop Vengeance LPX 16GB (1 x 16GB) DDR4 3000 (PC4-24000) C16 - preto,349.0,4.7,1.714,Estimativa de envio de 4 a 5 dias
"Gloway Kit de memória de alumínio para Desktop Compter DDR4 Ram 16GB (2 x 8GB) 3200MHz (PC4-25600) CL16 1,35V 288-Pin DDR4 UDIMM - Branco",309.9,4.4,258.0,Estimativa de envio de 4 a 5 dias
"KF432C16BB1/16 - Memória de 16GB DIMM DDR4 3200Mhz FURY Beast 1,35V 2Rx8 288 pinos para desktop/gamers, Preto",284.5,4.7,463.0,Em estoque
Memória 8GB DDR4 3200MHz Rise Mode Z - CL16 - com Dissipador - RM-D4-8G-3200Z,178.99,0.0,,Em estoque
Memória Desktop Adata 8GB DDR4 3200 Mhz,157.82,4.6,38.0,Em estoque
"Memória Redragon Solar Desktop Gamer RGB 8GB (1x8GB), DDR4 3600 MHZ, CL16, Preta e Dourada, GM-805",267.54,5.0,5.0,Em estoque
Memória Desktop Gamer Adata XPG Spectrix D35G RGB 16GB DDR4 3200 Mhz - AX4U320016G16A-SBKD35G,423.0,5.0,1.0,Em estoque
Memoria Adata Xpg Spectrix D35g 8gb Ddr4 3200mhz Cl16 Rgb Branco Desktop- Ax4u32008g16a-swhd35g,251.51,5.0,5.0,Em estoque
"Memoria Midgard 16GB (1X16GB) DDR4 SODIMM 3200MHZ CL22 1,2V Para Notebook Laptop",289.0,4.8,13.0,Em estoque
"Memoria Midgard 8GB (1X8GB) DDR4 DIMM 3200MHZ CL22 1,2V Para Desktop",180.0,4.6,3.0,Em estoque
"Kingston ValueRAM 8GB 2666MHz DDR4 Não-ECC CL19 SODIMM 1Rx16 1,2V - KVR26S19S6/8",155.0,4.7,243.0,Em estoque
"KF432C16BB1A/16 - Memória de 16GB DIMM DDR4 3200Mhz FURY Beast RGB 1,35V 2Rx8 288 pinos para desktop/gamers, Preto",363.7,4.8,456.0,Em estoque
Memória Notebook Adata 8GB DDR4 3200 Mhz,176.9,4.8,965.0,Em estoque
"Memoria Midgard 16 GB (1X16GB) DDR4 DIMM 3200MHZ CL22 1,2V Para Desktop",300.0,3.4,4.0,Em estoque
