title,price,rating,reviews,availability
Kit Intel 11ª Geração I5 11400f + Asus H510 + 16gb Ddr4,1870.0,5.0,2.0,Em estoque
"Placa Mãe Gigabyte A520M S2H DDR4, AMD, AM4",419.01,4.5,351.0,Em estoque
"Placa Mãe Gigabyte B550M AORUS Elite, Chipset B550, AMD AM4, mATX, DDR4",799.0,4.7,2.859,Estimativa de envio de 2 a 3 dias
"PLACA-MÃE GIGABYTE B450 GAMING, AM4 2XDDR4(MÁX 64GB),4 SATA,1 M.2, HDMI/VGA/DVI-D 2XUSB 3.2, 4XUSB 2.0",605.28,4.6,1.151,Em estoque
"PLACA-MÃE GIGABYTE B550M, AM4 4XDDR4(MÁX128GB), 4 SATA, 1 M.2, 2XUSB 3.2, 4XUSB 2.0, 1XHDMI",665.31,4.5,109.0,Em estoque
"Placa Mãe Gigabyte B760M AORUS ELITE (rev. 1.0), LGA 1700, DDR5",1109.95,4.5,65.0,Em estoque
"Placa Mãe Gigabyte H610M H DDR4, Chipset H610, Intel LGA 1700, mATX, DDR4",519.99,4.5,89.0,Em estoque
Placa Mãe Asus TUF GAMING B550M-PLUS AMD AM4 DDR4 mATX,919.0,4.7,1.559,Em estoque
"Placa Mãe AM4/USB 3.1/Type-C/Displayport, HDMI, ASRock, B450M Steel Legend",819.0,4.8,4.22,Em estoque
"Placa Mae Msi Pro H610m-g, Ddr4, Socket Lga 1700, M-atx, Chipset Intel H610, Pro-h610m-g",519.9,4.5,165.0,Em estoque
"Placa Mae TGT H61-T, DDR3, LGA 1155, M-ATX, Chipset Intel H61, TGT-H61-T",211.9,4.2,16.0,Em estoque
Placa Mãe AsRock A520M-HVS (AM4/DDR4/HDMI/VGA/M.2/USB3.2),409.99,4.2,84.0,Em estoque
"KACEPAR Controlador PCB mãe scooter elétrica, placa de controle de scooter elétrica, apto para Segway Ninebot ES1 ES2 ES4",488.27,0.0,,Em estoque
DAUERHAFT PC Placa-mãe para jogos H81 M.2 NVMe NGFF 6Gbs LGA 1150 Micro ATX PC Desktop de alta velocidade,532.31,3.8,4.0,Em estoque
"8GB DDR3 1600MHz Banco de memória para computador desktop, Transmissão de dados rápida Módulo de placa RAM DDRIII PC para placa-mãe",178.33,5.0,2.0,Em estoque
