title,price,rating,reviews,availability
"Fonte C3Tech PS-G850 Full Modular 850w, Certificacao 80 Plus Bronze, Gamer, ATX, PFC ativo Bivolt automatico 115/230V, PCIe 5.0, controle inteligente de ventilador, 17 conectores PSU, Preta",554.9,4.6,211.0,Em estoque
FONTE PARA PC ATX 600W PC Gamer Cooler Fonte De Alimentação Super Silenciosa Bivolt Preta E Vermelha Conectores SATA E Ventilador Potente Com Chave Seletora 110V/230V ONYK PREMIUM,382.89,4.9,9.0,Em estoque
FONTE DE ALIMENTAÇÃO BRAZILPC 230W REAL ATX 24 PINOS - BPC-230V1.2,57.99,4.1,24.0,Em estoque
Fonte Gamemax Gs600 600w 80 Plus White Pfc Ativo Preta,267.41,4.7,705.0,Em estoque
Fonte de Alimentação Redragon 500W 80 Plus Bronze PFC Ativo S/Cabo,249.99,4.8,848.0,Em estoque
Fonte ATX 500W Bivolt Crusader Fortrek,139.0,4.5,752.0,Em estoque
Fonte ATX 200W PWS-2003 20+4P FK420P Fortrek,49.9,4.5,2.031,Em estoque
"FONTE MANCER THUNDER 500W BRONZE 80 PLUS, MCR-THR500-BL01",279.9,4.8,331.0,Em estoque
"Fonte Corsair CV550-550W, 80 Plus Bronze, Preto - CP-9020210-WW",389.0,4.6,35.0,Em estoque
Fonte Aerocool Bivolt 350W VX-350 EN57181,123.99,4.5,1.077,Em estoque
FONTE ATX 650W - CV650-80 PLUS BRONZE - COM CABO DE FORCA - CP-9020236-BR,450.9,4.8,365.0,Em estoque
Fonte ATX 500W PFC Ativo Black Hawk 80 Plus Bronze Fortrek,245.0,4.5,451.0,Em estoque
"Fonte Corsair RM850-850W, 80 Plus Gold, Modular, Branco - CP-9020232-NA",1129.0,4.8,9.935,Em estoque
SilverStone Technology Fonte de alimentação ATX 750 Watt 80 Plus Bronze com design de cabo 100% modular ST75F-PB,1732.12,4.2,14.0,Em estoque
"Fonte Corsair RM750e, 750W, 80 Plus Gold, Modular, Preto - CP-9020262-WW",820.0,4.7,25.0,Em estoque
Fonte ATX Gamer Redragon RGPS 600W 80 Plus Bronze PFC Ativo Sem Cabo de Força - GC-PS002,329.9,4.8,588.0,Em estoque
"Fonte C3Tech PS-510BK, 500w Gamer, ATX, Bivolt 115/230V, Cooler 120mm, Cabos Flat, Preta",229.9,4.5,5.0,Em estoque
Fonte Gamer ATX KCAS 800W PFC Ativo 80 Plus Bronze Aerocool,356.4,4.7,1.3,Em estoque
Fonte 200W C3Plus ATX PS-200V4 Prata - Potência de 200W Reais Cooler de 80mm Silêncioso Proteção contra Curto Circuito Bivolt Manual 115V/230V Sem Cabo AC,71.03,4.5,100.0,Em estoque
Fonte ATX Gamer 500w Real KP 522 Box,99.74,3.8,222.0,Em estoque
Fonte Gamemax Gp750 750w 80 Plus Bronze Pfc Ativo Preta,386.9,4.7,1.415,Em estoque
Fonte de Alimentação Duex DX-500FSE+ 500W 80 Plus Bronze PFC Ativo com cabo,218.0,4.5,34.0,Estimativa de envio de 2 a 3 dias
"Fonte Cooler Master G Gold 800 800W (sem cabo de força), 80 Plus Gold, MPW-8001-ACAAG-BR",549.9,4.6,26.0,Em estoque
"Fonte TGT Tomahawk 500W Preto, TMWK500",154.9,4.6,78.0,Em estoque
Fonte de Alimentação Gamemax GP650 650W 80 Plus Bronze PFC Ativo C/Cabo,358.9,4.7,886.0,Em estoque
"Corsair FONTE ATX 750W - CV750-80 PLUS BRONZE - COM CABO DE FORCA - CP-9020237-BR –, Preto",584.9,4.6,181.0,Em estoque
Fonte de Alimentação Redragon 400W 80 Plus White PFC Ativo S/Cabo,257.56,4.3,86.0,Em estoque
Fonte de Alimentação Adata XPG Pylon 650W 80 Plus Bronze C/PFC C/Cabo,389.0,4.7,995.0,Em estoque
"Fonte de Alimentação Para PC Alta Performace Ketchup 500W, 350W preta 110V/220V (500W)",99.8,3.7,45.0,Em estoque
"GAMDIAS Fonte de Alimentação ATX 500W Kratos E1-500W-RGB, Preto",194.31,4.3,88.0,Em estoque
Angoily PC Computador Mesa Host Fonte De Alimentação De Extensão Botões De Metal Fontes De Alimentação Do Computador Acessório Do Computador Ligar/Desligar Caixa Do Computador,151.69,0.0,,Em estoque
SilverStone Technology Fonte de alimentação 300W SFX Form Factor 80 Plus Bronze (ST30SF-V2),1139.64,4.5,810.0,Em estoque
"Adaptador De Fonte De Alimentação DC Sluffs, 1 PC AC 100V-240V Adaptador Conversor DC 12V 5a 60W Fonte De Alimentação Para Monitor LCD De Luz LED",234.24,0.0,,Em estoque
Fonte de Alimentação 12V 3A Bivolt (110/220V) para Modem De Internet Carregador - Adaptador AC/DC com Conector P4 - Estabilizado e Seguro,36.9,4.1,21.0,Em estoque
"LWLONGWEI DC Fonte de Alimentação Variável, 30V 10A Função de Memória Programável Comutação Ajustável Regulada DC Bench Fonte de Alimentação com 4 dígitos Display (LW-3010EC）",1089.56,4.7,4.0,Em estoque
"LWLONGWEI DC Fonte de Alimentação Variável, 4 Canais 30V 10A de saída Ajustável Switching Regulated DC Bench Fonte de alimentação com 4 dígitos LED Power Display 5V / 2A USD/DC Output",1801.77,4.3,6.0,Em estoque
"GAMDIAS Fonte de Alimentação ATX 500W Kratos E1-500W-RGB, Preto",194.31,4.3,88.0,Em estoque
Fonte Atx 600w Gamer Super Silenciosa Para Pc Bivolt Tronos,159.9,,,Em estoque
"Fonte Pichau Nidus 650L, 650W, 80 Plus Bronze, Preto, PG-NDL650-01BR",381.9,4.5,140.0,Em estoque
Fonte Atx 600W Real 24 Pinos - Brazil Pc,169.9,4.3,566.0,Em estoque
FONTE DE ALIMENTAÇÃO BRAZILPC 230W REAL ATX 24 PINOS - BPC-230V1.2,57.99,4.1,24.0,Em estoque
Fonte 80 Plus Pc Gamer Rgb Atx 12v 550w 120mm Bronze Preto,314.99,,,Em estoque
"Fonte de Alimentação MSI MAG A650BN - 650W, 80 Plus, Bronze, PFC Ativo",418.9,4.7,1.004,Em estoque
"Fonte 550W Gigabyte P550B, 80 Plus Bronze, PFC Ativo, GP-P550",360.0,4.8,521.0,Em estoque
"Fonte 600W ONE POWER - 70% Eficiência - MP600W3-I, Preto, ATX , 220V/110V",212.28,4.5,577.0,Em estoque
"Fonte de Alimentação Thermaltake Smart - 600W, 80 Plus, White, PFC Ativo, S/Cabo",349.0,4.8,1.055,Em estoque
"Fonte Corsair RM750e, 750W, 80 Plus Gold, Modular, Preto - CP-9020262-WW",820.0,4.7,25.0,Em estoque
FONTE PARA PC ATX 600W PC Gamer Cooler Fonte De Alimentação Super Silenciosa Bivolt Preta E Vermelha Conectores SATA E Ventilador Potente Com Chave Seletora 110V/230V ONYK PREMIUM,382.89,4.9,9.0,Em estoque
"Fonte de alimentação DC Lwlongwei Variável, 30V 10A 300W comutação ajustável Regulada DC Bench Fonte de alimentação linear com 4 dígitos LED Power Display 5V / 2A Saída USB",856.07,4.7,24.0,Em estoque
"Fonte C3Tech PS-G850 Full Modular 850w, Certificacao 80 Plus Bronze, Gamer, ATX, PFC ativo Bivolt automatico 115/230V, PCIe 5.0, controle inteligente de ventilador, 17 conectores PSU, Preta",554.9,4.6,211.0,Em estoque
Fonte Gamer ATX KCAS 700W PFC Ativo 80 Plus Bronze Aerocool,306.35,4.7,1.3,Em estoque
Cabo de Energia ATX Padrão Novo 3 Pinos 120cm Kirin CB-37A120,8.19,4.7,327.0,Em estoque
