title,price,rating,reviews,availability
"SanDisk SSD interno Ultra 3D NAND 1TB - SATA III 6 Gb/s, 2,5 polegadas/7 mm, até 560 MB/s - SDSSDH3-1T00-G26",815.03,4.3,1.053,Em estoque
HD SSD Kingston SA400S37 480GB,225.98,4.8,12.914,Em estoque
SSD Kingston NV2 1TB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 2100MB/s),469.0,4.8,11.387,Em estoque
"SSD, Kingston, SA400S37/960G",423.2,4.8,17.73,Em estoque
SSD ADATA SU650 240GB,159.0,4.8,2.57,Em estoque
"SSD, Kingston, SA400S37/480G",279.0,4.8,68.192,Em estoque
SSD Kingston NV2 500GB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 2100MB/s),286.9,4.8,5.868,Em estoque
"HD SSD 480GB Sata3 WD Western Digital 2, 5 - WDS480G2G0A",219.99,4.8,4.865,Em estoque
"Hd Ssd Kingston 240gb Sata 3 A400 2,5 Notebook",165.99,4.9,5.426,Em estoque
"SSD Crucial BX500 500GB SATA lll 2,5""",215.88,4.8,3.928,Em estoque
"SSD Sandisk Plus 1TB SATA III 2,5""",419.9,4.8,2.695,Em estoque
"SSD A400, Kingston, SA400S37/240G, Preto",171.9,4.9,100.565,Em estoque
SSD ADATA SU650 240GB,159.0,4.8,2.57,Em estoque
"SSD Crucial MX300 275GB 2,5 SATA - CT275MX300SSD1",1334.59,4.7,3.754,Estimativa de envio de 4 a 5 dias
"Crucial SSD interno MX500 250GB 3D NAND SATA 2,5 polegadas, até 560 MB/s - CT250MX500SSD1(Z)",651.0,4.8,34.432,Estimativa de envio de 6 a 7 dias
"SD Sandisk Plus, 480GB, SATA, Leitura 535MB/s, Gravação 445MB/s, SDSSDA-480G-G26",225.99,4.8,26.095,Em estoque
SSD PLUS M.2 NVMe Sandisk 1TB SDSSDA3N-1T00-G26 PCIe Gen 3.0,599.0,4.8,27.0,Em estoque
"SSD Sandisk Plus, 240GB, SATA, Leitura 530MB/s, Gravação 440MB/s, SDSSDA-240G-G26",187.9,4.8,29.65,Em estoque
"SSD interno Crucial BX500 CT1000BX500SSD1, 3D NAND SATA de 2,5 polegadas, até 540 MB/s, 1 TB",474.0,4.8,28.962,Em estoque
SSD Disco sólido interno Kingston SA400S37/960G 960GB,396.0,4.7,189.0,Em estoque
Ssd 480Gb Kingston A400 Bulk,225.89,4.8,1.253,Em estoque
"SSD 500GB PNY CS1031, M.2 2280, PCIe 3x4 NVMe, Leitura 2200MB/s, Grav. 1200MB/s - M280CS1031-500-CL",269.0,4.7,65.0,Em estoque
HD SSD 1TB Sandisk SDSSDA-1T00-G26,418.99,4.7,21.674,Em estoque
"Crucial BX500 240 GB 3D NAND SATA SSD interno de 2,5 polegadas, até 540 MB/s - CT240BX500SSD1 preto/azul",149.99,4.8,48.747,Em estoque
Kingston - SQ500S37/960G Q500 - Unidade de estado sólido - 960 GB - Interna - 2.5 - SATA 6GB/S,419.9,4.6,347.0,Em estoque
SSD WD Green SN350 1TB NVMe M.2 2280 (Leitura até 2400MB/s e Gravação até 1850MB/s),585.0,4.8,201.0,Em estoque
SSD Wd Green 2.5´ 240Gb SATA IIi 6Gb/S Leituras. 545Mb/S e Gravações. 465Mb/S - Wds240G2G0A,189.9,4.8,26.269,Em estoque
SSD Adata XPG Gammix S70 Blade 1TB NVMe M.2 2280 (Leitura até 7400MB/s e Gravação até 5500MB/s) - Com dissipador,715.0,4.7,8.727,Em estoque
Transcend TS256GMTS430S Unidade de estado sólido M.2 2242 SATAIII B+M Key MTS430S 256GB,459.79,4.6,2.454,Em estoque
TRANSCEND Unidade de estado sólido TS128GMSA230S 128GB mSATA SATAIII,534.14,4.7,2.078,Em estoque
"HDD Caddy UnionSine SATA 3.0 para SSD de 2,5'' 9,0/9,5/12,7 mm",308.0,4.4,56.0,Estimativa de envio de 6 a 7 dias
"PNY Kit completo de atualização de unidade de estado sólido interna SATA III CS900 500 GB 2,5"" - (SSD7CS900-500KIT-RB)",821.69,4.6,23.0,Estimativa de envio de 4 a 5 dias
KODAK SSD M2 SATA X250 1TB,1150.5,0.0,,Estimativa de envio de 4 a 5 dias
"SanDisk SSD interno Ultra 3D NAND 1TB - SATA III 6 Gb/s, 2,5 polegadas/7 mm, até 560 MB/s - SDSSDH3-1T00-G26",815.03,4.3,1.053,Em estoque
Transcend TS256GMTS430S Unidade de estado sólido M.2 2242 SATAIII B+M Key MTS430S 256GB,459.79,4.6,2.454,Em estoque
"TEAMGROUP SSD de alto desempenho MP44S 2TB SLC Cache Gen 4x4 M.2 2230 PCIe 4.0 NVMe, compatível com Steam Deck, ASUS ROG Ally, Mini PCs (R/W velocidade de até 5.000/3.500MB/s) TM5FF3002T0C101",1299.0,4.6,3.562,Em estoque
SSD Wd Green 2.5´ 240Gb SATA IIi 6Gb/S Leituras. 545Mb/S e Gravações. 465Mb/S - Wds240G2G0A,189.9,4.8,26.269,Em estoque
Hd Ssd 120gb 530mb/s Sata 3 para Notebook e Desktop,118.9,4.7,413.0,Em estoque
Ssd Crucial Bx500 2.5 480gb Sata Iii 500 Mb/s Novo com Nota,215.99,4.7,225.0,Em estoque
SSD Kingston NV2 250GB M.2 2280 NVMe PCIe SNV2S/250G,268.0,4.8,1.011,Em estoque
SSD PLUS M.2 NVMe Sandisk 1TB SDSSDA3N-1T00-G26 PCIe Gen 3.0,599.0,4.8,27.0,Em estoque
"SSD Crucial BX500 2TB 3D NAND SATA lll 2,5"" - CT2000BX500SSD1",779.81,4.6,6.401,Em estoque
SSD Adata XPG Gammix S70 Blade 1TB NVMe M.2 2280 (Leitura até 7400MB/s e Gravação até 5500MB/s) - Com dissipador,715.0,4.7,8.727,Em estoque
SSD 128gb Sata P3-128 Orange Kingspec,113.0,4.3,88.0,Em estoque
"SSD interno PNY CS900 250 GB 3D NAND 2,5 polegadas SATA III (SSD7CS900-250-RB)",189.0,4.8,25.483,Em estoque
"SSD Interno GREEN 1TB, Western Digital, Armazenamento Interno SSD WDS100T2G0A",460.0,4.8,7.221,Em estoque
SanDisk SSD Plus SSD interno - SATA III 6 Gb/s. 2.57 mm. até 530 MB/s - SDSSDA-120G-G27. SSD. 2TB,844.0,4.7,3.387,Em estoque
"Western Digital, SSD WD Green 480GB SATA lll 2,5""",245.0,4.4,1.161,Em estoque
SSD ADATA SU650 240GB,159.0,4.8,2.57,Em estoque
"SSD Crucial MX300 275GB 2,5 SATA - CT275MX300SSD1",1334.59,4.7,3.754,Estimativa de envio de 4 a 5 dias
"Crucial SSD interno MX500 250GB 3D NAND SATA 2,5 polegadas, até 560 MB/s - CT250MX500SSD1(Z)",651.0,4.8,34.432,Estimativa de envio de 6 a 7 dias
WD Green™ PC SN350 NVMe™ SSD 480GB,259.89,4.8,1.617,Em estoque
SSD 120gb Goldenfir T650 Sata III 6Gb/s Nand 2.5,97.2,4.4,32.0,Estimativa de envio de 2 a 3 dias
"Patriot SSD BURST 480GB 2,5"" SATA 3 - PBE480GS25SSDR, Preto",220.0,4.5,343.0,Em estoque
KingSpec SSD Disco Rígido HD 480GB SATA 3,225.0,4.7,17.0,Em estoque
SSD Kingston NV2 2TB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 2800MB/s),857.99,4.8,3.142,Em estoque
"SSD PATRIOT BURST 120GB 2,5' SATA 3 - PBE120GS25SSDR",125.0,4.7,1.502,Em estoque
SSD ALLTEK 512GB SATA III,276.0,0.0,,Em estoque
"SSD Crucial BX500-480GB 3D NAND SATA 2.5"", Micron, CT480BX500SSD1 I",250.0,4.8,34.755,Em estoque
"fanxiang S100 SSD SATA III de 250 GB, unidade interna de estado sólido 3D NAND TLC, velocidade de leitura de até 550 MB/s, compatível com laptop e PC",153.4,4.6,506.0,Em estoque
"SSD 120GB 2.5 SATA SU650 - ASU650SS-120GT-R, Adata, Armazenamento Interno SSD",136.9,4.8,14.497,Em estoque
SSD 240GB Patriot Burst Elite Sata III PBE240GS25SSDR,174.9,4.7,829.0,Em estoque
"SSD Lexar NQ100 480GB SATA III 2,5""",259.9,4.7,5.548,Em estoque
SSD VI550 S3 M.2 1TB,693.64,4.6,317.0,Estimativa de envio de 4 a 5 dias
WD Green™ PC SN350 NVMe™ SSD 960GB,965.0,4.6,239.0,Estimativa de envio de 6 a 7 dias
"KODAK SSD interno X150, amarelo, 960 GB",1024.22,4.1,58.0,Estimativa de envio de 4 a 5 dias
"SanDisk SSD interno Ultra 3D NAND 1TB - SATA III 6 Gb/s, 2,5 polegadas/7 mm, até 560 MB/s - SDSSDH3-1T00-G26",815.03,4.3,1.053,Em estoque
"TEAMGROUP SSD de alto desempenho MP44S 2TB SLC Cache Gen 4x4 M.2 2230 PCIe 4.0 NVMe, compatível com Steam Deck, ASUS ROG Ally, Mini PCs (R/W velocidade de até 5.000/3.500MB/s) TM5FF3002T0C101",1299.0,4.6,3.562,Em estoque
Transcend TS256GMTS430S Unidade de estado sólido M.2 2242 SATAIII B+M Key MTS430S 256GB,459.79,4.6,2.454,Em estoque
WD Green™ PC SN350 NVMe™ SSD 480GB,259.89,4.8,1.617,Em estoque
SSD PATRIOT P300 128GB M.2 2280 NVME PCIE GEN 3x4 - P300P128GM28,149.0,4.6,2.408,Em estoque
"SSD SAMSUNG 870 QVO SATA III MZ-77Q1T0B, 2,5 polegadas, 1 TB",1043.4,4.8,19.552,Em estoque
"SSD Crucial MX500 3D NAND SATA de 2,5 polegadas CT1000MX500SSD1, 1 TB",664.29,4.7,38.7,O envio pode levar até 3 semanas.
"SSD Crucial BX500-480GB 3D NAND SATA 2.5"", Micron, CT480BX500SSD1 I",250.0,4.8,34.755,Em estoque
"SSD WD Green 1TB SATA lll 2,5""",460.0,4.7,3.755,Em estoque
"SSD PATRIOT BURST 120GB 2,5' SATA 3 - PBE120GS25SSDR",125.0,4.7,1.502,Em estoque
ADATA SU650 480 GB 3D-NAND 6.3 cm SATA III Leitura de alta velocidade até 520 MB/s Unidade de estado sólido interna (ASU650SS-480GT-C),276.25,4.6,288.0,Em estoque
SSD ALLTEK 512GB SATA III,276.0,0.0,,Em estoque
"fanxiang S100 SSD SATA III de 250 GB, unidade interna de estado sólido 3D NAND TLC, velocidade de leitura de até 550 MB/s, compatível com laptop e PC",153.4,4.6,506.0,Em estoque
"SSD Sata III 120 GB, Preto, 2.5"", Dato",199.9,0.0,,Em estoque
SSD Samsung 980 PRO 1TB NVMe M.2 2280 (Leitura até 6900MB/s e Gravação até 5000MB/s),889.0,4.8,12.393,Em estoque
SSD ADATA SU650 240GB,159.0,4.8,2.57,Em estoque
"Crucial SSD interno MX500 250GB 3D NAND SATA 2,5 polegadas, até 560 MB/s - CT250MX500SSD1(Z)",651.0,4.8,34.432,Estimativa de envio de 6 a 7 dias
SSD VI550 S3 M.2 1TB,693.64,4.6,317.0,Estimativa de envio de 4 a 5 dias
SSD OSCOO ON800 M.2 2280 SATA Leitura: 550 MB/s e Gravação: 500 MB/s (128GB),131.9,4.6,16.0,Em estoque
SanDisk SSD de 480 GB PLUS 6.3 cm SATA III unidade de estado sólido interna modelo SDSSDA-480G-G25,229.99,4.8,603.0,Em estoque
Patriot P220 128GB SSD interno - SATA 3 6.3 cm - Unidade de estado sólido - P220S128G25,144.99,4.5,421.0,Em estoque
SSD 240GB Patriot Burst Elite Sata III PBE240GS25SSDR,174.9,4.7,829.0,Em estoque
"Bliksem SSD 2TB SATA 6Gb/s 2,5”7mm Unidades Internas SSD 3D NAND TLC Chip Até 550 Mb/s Para Computadores e Laptops (KD650 2TB)",599.99,4.4,3.115,Em estoque
SSD WD Green 240GB SATA III M.2 2280,285.9,4.5,569.0,Em estoque
SSD 1TB SANDISK ULTRA III 3D NAND SATA 3 - Modelo SDSSDH3-1T00G25,685.02,4.7,12.388,Estimativa de envio de 4 a 5 dias
"SSD Adata SU630, 480GB, SATA, Leitura 520MB/s, Gravação 450MB/s - ASU630SS-480GQ-R, ADATA Brasil, Armazenamento interno SSD, Preto, Pequeno",350.0,4.6,5.438,Em estoque
"XPG Lâmina GAMMIX S70 de 512 GB – Funciona com SSD interno para jogos PlayStation 5, PCIe Gen4 M.2 2280 até 7.400 MB/s (AGAMMIXS70B-512G-CS)",389.98,4.3,145.0,Em estoque
"SSD OnGaming 240GB, SATA III, 2,5"", ONSTSA240G",149.9,0.0,,Em estoque
SSD 64GB 2.5 POLEGADAS SATA III 6GB/S,120.0,0.0,,Em estoque
Hd Ssd 240gb 530mb/s Sata 3 para Notebook e Desktop,149.99,4.5,310.0,Em estoque
"SSD Crucial MX300 275GB 2,5 SATA - CT275MX300SSD1",1334.59,4.7,3.754,Estimativa de envio de 4 a 5 dias
"KODAK SSD interno X150, amarelo, 960 GB",1024.22,4.1,58.0,Estimativa de envio de 4 a 5 dias
WD Green™ PC SN350 NVMe™ SSD 960GB,965.0,4.6,239.0,Estimativa de envio de 6 a 7 dias
"SanDisk SSD interno Ultra 3D NAND 1TB - SATA III 6 Gb/s, 2,5 polegadas/7 mm, até 560 MB/s - SDSSDH3-1T00-G26",815.03,4.3,1.053,Em estoque
"TEAMGROUP SSD de alto desempenho MP44S 2TB SLC Cache Gen 4x4 M.2 2230 PCIe 4.0 NVMe, compatível com Steam Deck, ASUS ROG Ally, Mini PCs (R/W velocidade de até 5.000/3.500MB/s) TM5FF3002T0C101",1299.0,4.6,3.562,Em estoque
Transcend TS256GMTS430S Unidade de estado sólido M.2 2242 SATAIII B+M Key MTS430S 256GB,459.79,4.6,2.454,Em estoque
"SSD Lexar NQ100 480GB SATA III 2,5""",259.9,4.7,5.548,Em estoque
Ssd 120Gb Sata Patriot Pbu120Gs25Ssdr,105.4,4.5,1.019,Em estoque
"fanxiang S101 SSD SATA III de 256 GB 6 Gb/s 2,5 polegadas, velocidade de leitura de até 550 MB/s, compatível com laptops e computadores de mesa (preto)",206.99,4.5,17.033,Em estoque
"SSD Kingston 2.5"" 120GB A400 SATA III SA400S37/120G",162.75,4.6,44.0,Em estoque
"SSD - 2,5pol / SATA3 - 480GB - Gigabyte - GP-GSTFS31480GNTD",248.0,4.6,3.0,Em estoque
"SanDisk Ultra 3D NAND 2TB SSD interno - SATA III 6 Gb/s, 2,5""/7 mm, até 560 MB/s - SDSSDH3-2T00-G25",883.03,4.7,3.09,Estimativa de envio de 3 a 4 dias
G.oldenfir Sdd 512gb T650 Disco Sólido Interno Protocolo de Interface Sata III 6Gbs Velocidade de Leitura Sequencial de Até 550Mbs Unidade de Armazenamento Interno Fator de Forma 2.5 polegadas / No Brasil,113.0,0.0,,
"SSD Mancer Reaper S, 240GB, SATA III 6GB/s, Leitura 550 MB/s, Gravacao 490 MB/s, MCR-RPRS-240",168.9,5.0,2.0,Em estoque
Hd Ssd 240gb Kingston Sata A 400 2.5 PC,169.99,4.9,463.0,Em estoque
SSD M.2 2280 Western Digital Green SN350 1TB NVME - WDS100T3G0C,504.92,4.8,4.239,Em estoque
"KingSpec SSD M.2 NVMe de 256 GB, SSD 2280 PCIe Gen3x4 para laptop/notebook (2280, 256 GB)",219.0,4.7,248.0,Estimativa de envio de 2 a 3 dias
"SSD Micron Crucial Mx 500 2000Gb SATA 2,5"" 7Mm (Com Adaptador de 9,5Mm), Preto",1257.3,4.7,9.425,O envio pode levar até 3 semanas.
SSD ADATA SU650 240GB,159.0,4.8,2.57,Em estoque
